id,name,address,latitude,longitude,website,rating,user_ratings,summary,types,opening_hours,phone
ChIJUXpHUuZbrjsR6ukHMXXRJqg,AYURHEAL KERALA AYURVEDA HOSPITAL,"Ground floor, Shivaprabha building, opp. SBI BANK, chamundeswari layout, Harohalli, Karnataka 562112, India",12.6823654,77.470033,https://www.ayurheal.one/,4.7,14,,"hospital, health, point_of_interest, establishment",Open now,
ChIJl08dskRdrjsRaXQKtCPzSmA,Ayur piles clinic.,"Kanakapura Main Rd, Harohalli, Karnataka 562112, India",12.6833253,77.4707507,,4.9,90,,"hospital, health, point_of_interest, establishment",Open now,080502 05004
ChIJI0GEdahcrjsR5DUUaPefC5Q,NAYAK HOSPITAL,"MFHC+MPR, Harohalli, Karnataka 562112, India",12.6792251,77.4717797,,5,3,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJN5DuYQBdrjsRfiSaSPlil9s,Pradanamantri Bharatiya Jan Aushadhi Kendra Harohalli,"MFHC+HJJ, Road, Harohalli, Bengaluru, Karnataka 562112, India",12.6789584,77.4715073,,,0,,"hospital, health, point_of_interest, establishment",Open now,
ChIJY0S-yGhDrjsRhF_mxvSe9k4,Nayak Hospital,"PF9M+C9C, Ramanagara, Karnataka 562109, India",12.7185561,77.4833798,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJi5rQG5xbrjsRS4Cr5shIa6o,Tripura medicals and general stores,"Siddapura Bidadi Rd, opp. to urban co-oparative bank, Harohalli, Karnataka 562112, India",12.6801906,77.4690028,,,0,,"hospital, health, point_of_interest, establishment",Open now,094480 54547
ChIJiXhUq2pdrjsRckU4r91ijfA,Godur Hospital,"godur Hospital to anekal main rodu kanakapura, MGCQ+8J6, Harohalli, Karnataka 562112, India",12.6707758,77.5390259,,5,2,,"hospital, point_of_interest, health, establishment",Opening hours not available,
ChIJXzdCCEBdrjsRicfBXe-ScN0,ಗೋದೂರು ಗೇಟ್ ಬಸ್ ನಿಲ್ದಾಣ ಮತ್ತು ಸಾರ್ವಜನಿ Hospital ಗೋದೂರು,"MGCQ+QM6, ಕನಕಪುರ, Godur, Chikkanavalase, Karnataka 562121, India",12.6719048,77.5391282,,5,3,,"hospital, point_of_interest, health, establishment",Opening hours not available,
ChIJT4oHyDxorjsR9i9KsCDKzqc,Sharada Chikistalaya,"PHCF+RJH, Shivanahalli, Karnataka 560083, India",12.7220512,77.5741206,,5,3,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJWURzMvhprjsRg0M1xYfLul0,Govt Ayurvedic Clinic,"PHMF+X6M, Bengaluru, Karnataka 560083, India",12.7352553,77.5731369,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJx8yAS8RorjsRqCDAdS90jNk,Indalavadi Govt Hospital,"PJHQ+8JW, Indlawadi, Karnataka 562106, India",12.7283633,77.6390891,,4.5,4,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJ61RCao5vrjsRXfQ72wFeQCc,Arogyadhama Primary Health Center,"Bangalor, PMHF+PWJ, Taluk, Honnakasapura Village, Anekal, Honnakalasapura, Karnataka 562106, India",12.7293422,77.6747745,,4,6,,"hospital, health, point_of_interest, establishment",Closed,
ChIJlYQiawBvrjsR1o1EyU55Ipw,POOJA POLY CLINIC,"PMJC+R84, Indlawadi Cross, Suragajakkanahalli, Karnataka 562106, India",12.7320035,77.6708356,,5,1,,"hospital, health, point_of_interest, establishment",Open now,
ChIJycwunjxvrjsRqXJi45-mHS8,SHRI RUDRAMUNEESHWARA MEDICALS & GENERAL STORES,"#shop No. 4, Huchhappa Building, Ground floor,, Bannerugatta Main Road, Indulavadi Cross, Anekal, Bengaluru, Suragajakkanahalli, Karnataka 562106, India",12.7321152,77.6708355,,,0,,"drugstore, hospital, health, store, point_of_interest, establishment",Open now,097388 57044
ChIJw9vODnlvrjsRLhFYs5LTiZY,Government Hospital,"PM5W+JM7 GOVERNMENT HOSPITAL-1, Thali Rd, Weaver Colony, Anekal, Karnataka 562106, India",12.7090444,77.6955742,,3.6,67,,"hospital, health, point_of_interest, establishment",Closed,
ChIJiWDsiKFvrjsRfgtNRslUBtM,Aditi Hospital Anekal,"Kaval Hosahalli, Anekal, Karnataka 562107, India",12.7260316,77.7049037,,4.2,203,,"hospital, health, point_of_interest, establishment",Open now,
ChIJ42KoWYJvrjsRX1RCWZQRgjA,Ganga Speciality Hospital.,"Ganga Specality Hospital, Bayasabhi Layout, KSRTC Colony, Anekal, Karnataka 562106, India",12.7096352,77.7014021,,3.6,73,,"hospital, health, point_of_interest, establishment",Open now,
ChIJ0zatfJ5vrjsRSv4FYNfals8,Vijaya Nursing Home,"Advaitha diagnostics, Vijaya Nursing Home, Chandapura - Anekal Rd, Vinayaka Nagar, Bengaluru, Anekal, Karnataka 562106, India",12.7189576,77.7018534,,3.1,60,,"hospital, health, point_of_interest, establishment",Open now,
ChIJ39ilhYJvrjsRcxbfH5rNu1k,Raghu Child Care Nursing Home,"PP62+32C, Bayasabhi Layout, KSRTC Colony, Anekal, Karnataka 562106, India",12.7101923,77.7000084,,3.9,31,,"hospital, health, point_of_interest, establishment",Open now,
ChIJ6zQJZnhvrjsRnOyq-8nI6Ew,Sri Srinivasa Hospital,"Ram, Temple Rd, near Ghandhi square, Bayasabhi Layout, KSRTC Colony, Anekal, Karnataka 562106, India",12.7094423,77.6983655,,4.4,23,,"hospital, health, point_of_interest, establishment",Open now,098860 59491
ChIJIyGLcEJvrjsREeo9VZ2OVAg,ANEKAL PARAMPARA PUTTUR KATTU & Nallampatti Kattu,"BUS STAND, near Aishwarya Bar ( Karnataka Bar) Street, opposite ANEKAL, Vinayaka Nagar, Anekal, Karnataka 562106, India",12.7098748,77.6970488,,5,231,,"hospital, health, point_of_interest, establishment",Closed,097380 28870
ChIJHy7-KitvrjsREtG_XzYMeH4,Veterinary Hospital Anekal,"near Vetanari Hospital, Bayasabhi Layout, KSRTC Colony, Anekal, Bengaluru, Karnataka 562106, India",12.7084392,77.6992634,,3.7,10,,"hospital, health, point_of_interest, establishment",Open now,
ChIJrwFQ93hvrjsRw13jn5ubndg,Swadeshi Ayurveda Bhandara,"Weaver Colony, Anekal, Karnataka 562106, India",12.7077074,77.6967392,,4.8,5,,"hospital, health, point_of_interest, establishment",Open now,095909 59074
ChIJM91-hYJvrjsRepyd8A9mEmQ,ರಘು ಸ್ಪೆಷಾಲಿಟಿ ಆಸ್ಪತ್ರೆ,"PP62+32X, N R, Bayasabhi Layout, KSRTC Colony, Anekal, Karnataka 562106, India",12.7102338,77.700118,,3.9,9,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJ2wf5EnlvrjsRfaLclsX9n00,Anekal TH,"PM5W+F47, Weaver Colony, Anekal, Karnataka 562106, India",12.7086706,77.6953003,,2,2,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJbaAEp3lvrjsRxTFZLlm0dmY,Vignesh Medicals and General Stores,"Muniverappa colony,, Opposite to government Hospital,, Taluk office Road, Anekal, Vinayaka Nagar, Bangalore, Anekal, Karnataka 562106, India",12.7096706,77.6956281,,5,6,,"hospital, pharmacy, wholesaler, health, store, point_of_interest, establishment",Open now,087921 47137
ChIJwWDfnIJvrjsROmfaOyRMDgA,Akshaya Physiotherapy And Pain Relief Clinic,"Bayasabhi Layout, KSRTC Colony, Chandapura, to, Anekal - Hosur Rd, Bayasabhi Layout, Hosur Road, Anekal, Karnataka 562106, India",12.7107225,77.6995495,,4.8,5,,"hospital, health, point_of_interest, establishment",Open now,095382 97765
ChIJV896_3hvrjsRRTHeywWTXmY,Sri Raghavendra Clinic,"PM5W+QPR, Thali Rd, Weaver Colony, Anekal, Karnataka 562106, India",12.709498,77.6967781,,5,1,,"hospital, health, point_of_interest, establishment",Open now,080 2785 9284
ChIJkdds7XhvrjsRykW8HSFErJs,Srinivasa Nursing Home,"Opp., PM5X+Q8P, Rama Temple Rd, Bayasabhi Layout, New Tippasandra, Bengaluru, Anekal, Karnataka 560075, India",12.7094596,77.6983341,,4,2,,"hospital, health, point_of_interest, establishment",Open now,
ChIJC5n1HZNvrjsRVOmJj2YUlaE,Samiksha med pharma,"Thimmarayaswamy Temple Rd, arch, Weaver Colony, Hosur, Anekal, Karnataka 562106, India",12.7066798,77.7000592,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJYVMQR-ZvrjsRPnwIdSsxodY,Ayurvedic government dispensary,"PM5V+W8V, Thali Rd, Weaver Colony, Anekal, Karnataka 562106, India",12.7098643,77.6933062,,,0,,"hospital, point_of_interest, health, establishment",Opening hours not available,
ChIJX_MiMABlrjsRaJ2s3qBe_CU,Roja Clinic,"MPWP+974, GATE, near SAMANDURU, Submangala, Karnataka 562106, India",12.6959834,77.7355919,,,0,,"hospital, point_of_interest, health, establishment",Opening hours not available,
ChIJz6mNvbdvrjsRYZtaBTpqoek,Thattanahalli village Health Center,"PPQG+J3F, Thattanahalli, Karnataka 562107, India",12.7390684,77.725178,,5,1,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJoRlsB1xvrjsREXxgW6i7ZE8,Cosmos wellness zone,"#7/195, chiguru, behind court, Mariyappa Layout, Vinayaka Nagar, Anekal, Anekal Rural, Karnataka 562106, India",12.7146286,77.7016377,,5,1,,"hospital, health, point_of_interest, establishment",Open now,093801 10271
ChIJf1XBPk5xrjsRP3i1JjoTa2o,Govt Primary Health Centre,"PQGH+CHH, Kothagondapalli, Tamil Nadu 635126, India",12.7260611,77.7789904,,3.1,7,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJoec4qDRxrjsRvRcqfkQ6G94,Balaji Medical,"PQ7P+FX7, Nanjapuram, Tamil Nadu 635126, India",12.7136619,77.7874367,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,089732 42244
ChIJjyPnTsx7rjsR0hbmrd4yEiI,HEALTH CARE MEDICALS,"Hosur - Thally Rd, Belagondapalli, Belagondanahalli, Tamil Nadu 635110, India",12.6712907,77.7622962,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,094881 54981
ChIJ209SjFl7rjsRm2yycBu3mew,SPV GENEALOGY AND MATRIMONY,"Karnoor, Hosur, Karnoor, Tamil Nadu 635110, India",12.7039229,77.7939992,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJWQe1T1l7rjsRxb_jwc0jR4c,Abi medical & clinic,"grand cinemas, Near, Hosur - Thally Rd, Karnoor, Hosur, Tamil Nadu 635110, India",12.704203,77.7905797,,5,1,,"hospital, health, point_of_interest, establishment",Open now,099404 41988
ChIJ3woc0MN6rjsR4Nk4Fl2M_5s,Veterinary Dispensary,"MQG7+5R6, Belagondanahalli, Tamil Nadu 635110, India",12.6754155,77.7645134,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJfwjuWFJ7rjsR1HeUZe130NM,RS BROTHERS PHARMA,"Ground Floor, East Facing, 1/226/2, Anganvadi Street, Nagondapalli, Hosur, Tamil Nadu 635110, India",12.6704266,77.785968,,5,3,,"hospital, health, point_of_interest, establishment",Open now,078456 48645
ChIJmTujnwxxrjsRaXZeabtxENw,Malar Hospital,"182/2C2, Hosur - Denkanikottai Rd, near Mathigiri Circle, Old Mathigiri, Hosur, Tamil Nadu 635110, India",12.6995437,77.8107601,https://www.malarhospitals.com/,4.8,440,,"hospital, point_of_interest, health, establishment",Open now,04344 611 545
ChIJ6a6ZE3BxrjsRuRkLOSMrZXs,Jayam Speciality Clinic,"575/A3-Ring road 5th cross, ESI Ring Rd, Muneeswara Nagar, Hosur, Tamil Nadu 635109, India",12.73025,77.8069154,,4.9,104,,"hospital, point_of_interest, health, establishment",Open now,063807 60071
ChIJJcIaiPN7rjsRXCS1iS_BbKQ,Metro Health,"X road, Kelamangalam Rd, near Mathigiri, Chamundi nagar, Hosur, Tamil Nadu 635110, India",12.6971295,77.8157679,,3.7,27,,"hospital, point_of_interest, health, establishment",Open now,
ChIJEW8mNkRxrjsRAqvuG2xJcPk,Malar Multispeciality Clinic,"No.5 Rajaji Nagar, Near, Dinnur Bus Stop Rd, Dinnur, Navadhi, Hosur, Tamil Nadu 635109, India",12.711723,77.8192769,,4.3,64,,"hospital, pharmacy, child_care_agency, store, point_of_interest, health, establishment",Open now,094897 03344
ChIJqQVNBXN6rjsRTrYtPI78Zwg,Anantha Ashram Hospital,"Mathigiri Road, Mathigiri, Hosur, Tamil Nadu 635109, India",12.6991014,77.8110498,,4,63,,"hospital, point_of_interest, health, establishment",Open now,
ChIJIbgTBW96rjsRDYFduqVxCnk,Government Hospital,"MRR3+HRG, Mathigiri, Hosur, Tamil Nadu 635110, India",12.6914307,77.8045779,,3,4,,"hospital, point_of_interest, health, establishment",Open now,
ChIJTdD3G256rjsRe-Sr_pT1_N8,Fathima Hospital,"MRV4+WV5, Royal Town Main Road, Mathigiri, Hosur, Tamil Nadu 635109, India",12.694761,77.8072427,,4,25,,"hospital, point_of_interest, doctor, health, establishment",Open now,
ChIJYxl8bG1xrjsRMD5MW2ANZEY,RK PolyClinic,"10, 4th Cross Rd, Vignan Nagar, SBM Colony, Anthivadi, TVS Nagar, Hosur, Tamil Nadu 635109, India",12.7197822,77.8093925,,3.7,3,,"hospital, point_of_interest, health, establishment",Open now,
ChIJB5433cNwrjsRoN5ipw_EKqo,NALAM HOMOEO CLINIC & RESEARCH CENTER,"Plot no 25, 2nd cross, Muneeshwar nagar, phase 2, ESI Ring Rd, behind bakeland bakery, Muneeswara Nagar, Hosur, Tamil Nadu 635109, India",12.7277205,77.8087928,,5,91,,"hospital, pharmacy, drugstore, store, point_of_interest, health, establishment",Open now,098438 72260
ChIJ_SCI0jRxrjsRnfZCOVn6Kqg,SURAKSHA MULTISPECIALITY CENTRE,"181/8, GROUND FLOOR, Denkanikotta Rd, next to SELVA VINAYAGAR TEMPLE, opp. DSP OFFICE, Venkateswara Colony, RK NAGAR, Hosur, Tamil Nadu 635109, India",12.7163521,77.8209654,,4.9,44,,"hospital, pharmacy, store, point_of_interest, doctor, health, establishment",Opening hours not available,070947 95795
ChIJg-Hk3rZ7rjsR5Eai0fDtLz0,Restore Health Centre,"1/1, Amman Nagar, Barath Nagar, Hosur, Tamil Nadu 635110, India",12.7029546,77.8134616,,5,4,,"hospital, point_of_interest, health, establishment",Closed,
ChIJmVgbV3ZxrjsRA__6KBJoKec,"Lakshmi nursing home, Hosur","No. 5/646, PRH5+8J3, B1, Ring Road, near Bakeland Bakery, Muneeshwar Nagar Extension, Muneeshwara Nagar, Hosur, Tamil Nadu 635126, India",12.728262,77.8089869,,3.5,2,,"hospital, point_of_interest, health, establishment",Open now,
ChIJZWgCZQBxrjsRo4hy3LTnKzo,Gunam Super speciality Hospital,"A94, 1st Cross St, SBM Colony, Anthivadi, TVS Nagar, Hosur, Tamil Nadu 635110, India",12.7196109,77.8080321,,4,1,,"hospital, point_of_interest, health, establishment",Opening hours not available,
ChIJAQAAJJFwrjsRY8DPC3NOdfU,Shakuntala Memorial Hospital & Research Center,"50/51, Golden Town, Unkal Cross, Hosur, Hosur, SBM Colony, Anthivadi, Hubli, Hosur, Tamil Nadu 580028, India",12.7206806,77.8070751,,,0,,"hospital, point_of_interest, health, establishment",Opening hours not available,0836 222 8271
ChIJPTzt9Qp7rjsRpDBLyi4kLO8,Venkat Medical & Clinic,"PR39+575, navadhi new colony, Navadhi, Hosur, Tamil Nadu 635109, India",12.7028853,77.8182428,,5,1,,"hospital, point_of_interest, health, establishment",Opening hours not available,098433 81584
ChIJyyeY4gN7rjsRXUqSOACrSpo,Shree Sairam Medicals,"Mathigiri, Hosur, Tamil Nadu 635110, India",12.6940546,77.8063975,https://medical-store.in/shrees56,5,4,,"hospital, point_of_interest, health, establishment",Open now,096294 40799
ChIJoXSjnbRFrjsRj3nMKyNYVN0,Govt Hospital,"QC2C+3WH, Ramanagara, Karnataka 562109, India",12.7501938,77.4223595,,4,4,,"hospital, health, point_of_interest, establishment",Closed,
ChIJgxSfnbRFrjsRk6KnwWDw9i0,Primary Health Center - Byramangala,"Sri BS Srinivasmurthy Rd, Industrial Area, Byramangala, Bidadi, Karnataka 562109, India",12.7501913,77.4223602,,1,1,,"hospital, health, point_of_interest, establishment",Open now,
ChIJQZN9CABFrjsRdvLwR3_lDZ4,Cow hospital ದನಗಳ ಆಸ್ಪತ್ರೆ,"PCXH+QFF, Bannigiri, Karnataka 562109, India",12.7488391,77.4286946,,5,2,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJB9Z1putFrjsRPSZh59ghC6w,"Ittamadu primary health centre, Toredoddi","Q95X+283, Heggadagere, Karnataka 562109, India",12.757515,77.3982945,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJCWz8fLNFrjsRK6du0U_sBxY,Poorna Chandra Medicals And General Store,"PCXC+XRR, Ramanagara, Karnataka 562109, India",12.7499973,77.422024,,5,2,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJ1-ipNABFrjsRw1ZPGduK7R0,Paduvanagare,"Q93M+X4, Aladamaradadoddi, Karnataka 562109, India",12.7548854,77.3829046,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJh-aifXNErjsR5DhYp0iOkxY,Yogavana Vaidya Sala,"QF47+5P9, Unnamed Road, Kodiyala Karenahalli, Karnataka 562109, India",12.7554132,77.4643619,,3.2,22,,"hospital, point_of_interest, health, establishment",Opening hours not available,
ChIJBaTZiJlDrjsR2xZOQCDuVFc,Sri Sri Cancer Care,"PFWQ+73F, Kanakapura Main Rd, O.B Chudanahalli, Bengaluru, Karnataka 560082, India",12.7456955,77.4876673,https://www.srisricancercare.org/,4.5,2,,"hospital, point_of_interest, health, establishment",Opening hours not available,081476 94710
ChIJgQW3azpFrjsRspFkDOQmP9I,ಯೋಗವನ ವೈದ್ಯ ಬೆಟ್ಟ ಪ್ರಸಾದ ನಿಲಯ,"QF48+82, K.G.Gollarapalya, Karnataka 562109, India",12.7557546,77.4650791,,,0,,"hospital, point_of_interest, health, establishment",Opening hours not available,
ChIJOVusiZlDrjsR2KafOaKR1VI,Samudaya Arogya Kendra - Kaggalipura,"Off, Kanakapura Main Rd, Kaggalipura, Karnataka 560082, India",12.7456628,77.4874677,,,0,,"hospital, point_of_interest, health, establishment",Opening hours not available,
ChIJscN1ncdDrjsRteIo6T6CSGo,pradhan mantri jan aushadhi kendra,"PFWQ+734, Kanakapura Main Rd, Bayanpalya, Bengaluru, Karnataka 560062, India",12.745628,77.4877089,,,0,,"hospital, point_of_interest, health, establishment",Opening hours not available,
ChIJo0w2CBpprjsRPTNvCQoO4zE,Arogyadhama Ayurveda Panchakarma Block,"QJ3F+JM3, J.Bingipura, Karnataka 560105, India",12.7540195,77.624182,https://svyasa.edu.in/,4.9,8,,"hospital, health, point_of_interest, establishment",Closed,
ChIJGS0nCBpprjsRKW3T6DNy5fQ,VYASA Naturopathy Block Surabhi,"QJ3F+JMC, J.Bingipura, Karnataka 560105, India",12.7540535,77.6241451,,4.8,4,,"hospital, health, point_of_interest, establishment",Closed,
ChIJO-ZjpxBprjsRoEsxPDDfCjM,Surabhi naturopathy and ayurveda hospital,"QJ3F+JJC, J.Bingipura, Karnataka 560105, India",12.7540736,77.6240138,,4.7,3,,"hospital, health, point_of_interest, establishment",Closed,
ChIJHxQrIABprjsRMapmBE3UnaA,Arogyadhama,"QJ3F+QV, J.Bingipura, Karnataka 560105, India",12.754702,77.624874,https://svyasa.edu.in/,4,1,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJB7ApQFBprjsRKVPZRLWiokM,Sushrutha Ayurvedic Medical College And Hospital,"Taluk, Bengaluru, Giddenahalli, Karnataka 560105, India",12.7565125,77.6241406,http://sushruthaayurvedicmedicalcollege.com/,4.4,244,,"university, hospital, health, point_of_interest, establishment",Opening hours not available,080 2263 9910
ChIJA6EZrRBprjsRIZ6NoOeSios,S-VYASA AROGYADHAMA PRASHANTI KUTIRAM,"J.Bingipura, Karnataka 560105, India",12.7576871,77.6265913,https://arogyadhama.com/,4.8,632,,"hospital, health, point_of_interest, establishment",Closed,099728 71777
ChIJD41aVKtprjsRIEPmGnjhToA,Government Health Center,"QJ78+PRX, Mahanthalingapura, Karnataka 560105, India",12.7643683,77.6171164,,3.8,5,,"hospital, health, point_of_interest, establishment",Closed,
ChIJB3qoxRBprjsRTLRnhArcWjw,The School Of Yoga & Naturopathic Medicine,"Prashanti Kuteeram, Giddenahalli village, Kalabalu, post, Jigani, J.Bingipura, Karnataka 560105, India",12.7565755,77.6241586,http://www.svyasabnys.com/,4.8,84,,"university, hospital, health, point_of_interest, establishment",Closed,080 2263 9981
ChIJ3SVKMjVprjsRLaNOvDeZAbg,Government Primary Health Centre,"Haragadde SH-87, Banneyugatta Road, Anekal, Haragadde, Karnataka 562106, India",12.764764,77.653352,,3,6,,"hospital, health, point_of_interest, establishment",Closed,
ChIJuV0Cb9tvrjsRItzGn62Czng,Bharath Medical,"Haragaddea, Jigani - Anekal Rd, Bengaluru, Haragadde, Karnataka 560105, India",12.7648269,77.6539771,,,0,,"pharmacy, hospital, health, store, point_of_interest, establishment",Opening hours not available,086602 85049
ChIJFeVXGl1prjsR_s0M-IFsKiQ,Unity Pharma,"QM82+342, Jigani, Haragadde, Bengaluru, Karnataka 560105, India",12.7651499,77.6502806,,,0,,"hospital, pharmacy, health, store, point_of_interest, establishment",Open now,098809 38055
ChIJsWvYq-1vrjsR0vg4EeTBdcg,Dr. Rashmi Sharma Ayurvedic Physician in Bengaluru,"Akshara arogya kendra 1st cross , park road , NOBO Nagar, SH 87, Kammanahalli, Bengaluru, Karnataka 560076, India",12.7604214,77.6555564,https://drrashmisharma82889.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,5,3,,"hospital, doctor, health, point_of_interest, establishment",Open now,080730 06426
ChIJX4W7-SZvrjsRBqcWuurD52I,Dhanavanthari Medical and General Store,"PMR9+H7F, Jigani - Anekal Rd, Vinayaka Nagar, Anekal, Karnataka 562106, India",12.7414488,77.6681728,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,096322 43636
ChIJFWprLN9vrjsRU0PwyE6YcnA,DR. Rajan’s health clinic,"VBHC Vaibhava, near Block 10, Byagadadhenahalli, Karnataka 562106, India",12.7569304,77.7018719,,5,4,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJz56OEl5urjsRFhSf9aGM0GI,Government Hospital,"QP93+3QV, Marsur, Karnataka 562106, India",12.7677448,77.7044209,,2.6,14,,"hospital, health, point_of_interest, establishment",Open now,
ChIJhVfkQCtvrjsRTlNzo0tVipI,Kalyani eye clinic & AYKYA Opticals .ಕಲ್ಯಾಣಿ ಐ ಕ್ಲಿನಿಕ್ ಐಯ್ಕ ಆಪ್ಟಿಕಲ್ಸ್,"1st floor,NearR.k Farm gate, opposite New BIG market, RTO office,Marsur, Chandapura - Anekal Rd, Bengaluru, Byagadadhenahalli, Karnataka 562106, India",12.7618024,77.7020516,,5,80,,"hospital, doctor, health, store, point_of_interest, establishment",Open now,
